,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
168,1,9.71,-0.07,0.69655,-0.822,3.655,4.669,10.3,0.038,0.0,17.125,16.569,15.631,15.007,14.914,0.697
169,1,9.73,-0.43,0.28193,-1.858,3.584,5.03,11.3,0.038,0.0,20.715,20.202,19.027,18.456,18.282,0.282
170,1,9.73,-0.37,0.43702,-1.459,3.604,4.899,11.1,0.038,0.0,19.517,18.985,17.885,17.269,17.127,0.437
171,1,9.73,-0.35,0.42594,-1.49,3.601,4.907,11.6,0.038,0.0,20.095,19.565,18.453,17.84,17.695,0.426
172,1,9.73,-0.33,0.54936,-1.161,3.628,4.796,11.4,0.038,0.0,19.072,18.538,17.512,16.859,16.74,0.549
173,1,9.73,-0.25,0.19496,-2.222,3.55,5.097,9.9,0.038,0.0,20.226,19.819,18.458,17.901,17.671,0.195
174,1,9.73,-0.25,0.17286,-2.383,3.53,5.125,10.3,0.038,0.0,21.028,20.677,19.21,18.659,18.424,0.173
175,1,9.73,-0.15,0.56456,-1.165,3.621,4.785,9.1,0.037,0.0,16.783,16.259,15.197,14.531,14.412,0.565
176,1,9.73,-0.07,0.2306,-2.1,3.551,5.052,8.1,0.035,0.0,18.119,17.718,16.337,15.781,15.554,0.231
177,1,9.73,-0.05,0.46625,-1.444,3.593,4.868,10.4,0.038,0.0,18.781,18.288,17.09,16.47,16.323,0.466
178,1,9.73,-0.01,1.06438,0.255,3.775,4.256,14.2,0.038,0.0,18.332,17.797,17.281,16.994,16.956,1.064
179,1,9.75,-0.51,0.46202,-1.36,3.619,4.886,11.7,0.038,0.0,19.87,19.328,18.291,17.663,17.531,0.462
180,1,9.75,-0.37,0.28935,-1.855,3.581,5.023,11.8,0.038,0.0,21.207,20.705,19.503,18.935,18.757,0.289
181,1,9.75,-0.35,0.49908,-1.299,3.616,4.845,11.6,0.038,0.0,19.616,19.085,18.022,17.382,17.252,0.499
182,1,9.75,-0.35,0.24618,-1.992,3.571,5.052,11.7,0.038,0.0,21.45,20.97,19.721,19.161,18.968,0.246
183,1,9.75,-0.17,0.32015,-1.806,3.574,4.992,10.0,0.038,0.0,19.286,18.812,17.545,16.979,16.796,0.32
184,1,9.75,-0.15,0.12089,-2.819,3.481,5.209,8.4,0.036,0.0,20.218,20.032,18.269,17.728,17.478,0.121
185,1,9.75,-0.15,0.269,-1.955,3.564,5.024,9.8,0.038,0.0,19.456,19.014,17.7,17.138,16.934,0.269
186,1,9.75,-0.09,0.17712,-2.375,3.526,5.11,10.3,0.038,0.0,21.008,20.675,19.164,18.625,18.389,0.177
187,1,9.75,-0.03,0.20566,-2.201,3.543,5.071,9.8,0.038,0.0,20.072,19.695,18.267,17.718,17.487,0.206
188,1,9.75,-0.01,0.16378,-2.481,3.51,5.121,9.9,0.038,0.0,20.872,20.592,18.986,18.458,18.214,0.164
189,1,9.75,0.19,0.1977,-2.263,3.529,5.06,10.6,0.038,0.0,21.028,20.692,19.184,18.648,18.414,0.198
190,1,9.77,-0.43,0.92601,0.023,3.78,4.446,10.8,0.038,0.0,15.512,15.017,14.505,14.216,14.18,0.926
191,1,9.77,-0.43,0.30281,-1.794,3.588,5.012,10.9,0.038,0.0,20.155,19.635,18.479,17.902,17.734,0.303
192,1,9.77,-0.35,0.26166,-1.941,3.574,5.04,9.9,0.038,0.0,19.523,19.034,17.799,17.239,17.052,0.262
193,1,9.77,-0.35,0.22676,-2.066,3.567,5.072,11.2,0.038,0.0,21.134,20.669,19.399,18.839,18.638,0.227
194,1,9.77,-0.31,0.38107,-1.615,3.591,4.946,10.1,0.038,0.0,18.908,18.394,17.232,16.639,16.48,0.381
195,1,9.77,-0.29,0.27955,-1.898,3.574,5.024,8.8,0.037,0.0,18.314,17.83,16.585,16.023,15.836,0.28
196,1,9.77,-0.25,0.40855,-1.549,3.593,4.914,10.6,0.038,0.0,19.243,18.733,17.565,16.964,16.809,0.409
197,1,9.77,-0.09,0.34451,-1.757,3.574,4.973,10.8,0.038,0.0,19.962,19.497,18.212,17.645,17.462,0.345
198,1,9.79,-0.43,0.39366,-1.553,3.601,4.937,11.7,0.038,0.0,20.351,19.815,18.715,18.111,17.964,0.394
199,1,9.79,-0.41,0.68257,-0.733,3.679,4.668,9.6,0.038,0.0,16.202,15.63,14.789,14.24,14.16,0.683
200,1,9.79,-0.35,0.43118,-1.475,3.602,4.902,10.8,0.038,0.0,19.257,18.727,17.619,17.003,16.86,0.431
201,1,9.79,-0.35,0.74708,-0.549,3.704,4.622,15.2,0.038,0.0,21.342,20.759,20.01,19.537,19.469,0.747
202,1,9.79,-0.31,0.39833,-1.564,3.594,4.924,11.0,0.038,0.0,19.679,19.162,18.011,17.411,17.257,0.398
203,1,9.79,-0.29,0.18482,-2.289,3.543,5.112,9.3,0.037,0.0,19.792,19.402,18.01,17.454,17.222,0.185
204,1,9.79,-0.27,0.33334,-1.754,3.582,4.989,9.7,0.038,0.0,18.856,18.359,17.148,16.573,16.399,0.333
205,1,9.79,-0.27,0.84306,-0.286,3.739,4.55,10.3,0.038,0.0,15.785,15.218,14.585,14.206,14.154,0.843
206,1,9.79,-0.21,0.65889,-0.876,3.654,4.696,9.5,0.038,0.0,16.46,15.905,14.968,14.345,14.251,0.659
207,1,9.79,-0.17,0.21372,-2.145,3.553,5.072,10.8,0.038,0.0,20.933,20.521,19.163,18.606,18.382,0.214
208,1,9.79,-0.17,0.81701,-0.408,3.718,4.575,11.8,0.038,0.0,17.591,17.005,16.303,15.87,15.81,0.817
209,1,9.79,-0.15,0.28609,-1.902,3.567,5.01,9.9,0.038,0.0,19.424,18.972,17.672,17.109,16.911,0.286
210,1,9.79,-0.09,0.56349,-1.18,3.618,4.785,10.0,0.038,0.0,17.72,17.202,16.12,15.454,15.333,0.563
